面积（平方米）,价格（元/月）,类别
37,1400,0
82,1800,0
76.5,1000,0
88,1900,0
39,900,0
55.94,2500,0
130,1400,0
86,1200,0
102,2000,0
35,1900,0
77,1550,0
60,1500,0
58,1500,0
74.5,2900,0
75,1200,0
98,1800,0
62.27,1600,0
120,1700,0
25,1700,0
46.5,2550,0
19,1000,0
115,1100,0
80,1000,0
40,3100,2
40,1300,0
117,2000,0
84,1600,0
30,1200,0
68,1700,0
15,980,0
77,1700,0
52,1200,0
20,600,0
92.7,1500,0
20,500,0
87,1600,0
30,1200,0
15,1000,0
14.5,1000,0
89,1500,0
30,1200,0
93,1700,0
35,1800,0
78,2200,0
90,2300,0
60,1500,0
20,580,0
16,950,0
59,1600,0
30,1200,0
91,2600,0
20,1100,0
40,1800,0
87,3200,2
16,1000,0
20,1100,0
17,901,0
39,900,0
55,1800,0
65,1100,0
118,2500,0
48.48,1500,0
75,1300,0
25,1650,0
61.97,3200,2
125,2200,0
48,1700,0
89,1700,0
95,2100,0
47.4,1100,0
64.78,1700,0
80,4000,2
151,3528,2
50.44,4000,2
84,1700,0
66,1100,0
30,1200,0
65,4500,2
66,2700,0
127,5000,2
78,1200,0
152,12000,1
67,1100,0
43.58,4400,2
30,1300,0
64.42,2200,0
318,18000,1
90,3500,2
63.66,1300,0
90,2000,0
50,1200,0
47,1600,0
59,1400,0
91,1200,0
42.45,1800,0
73,4300,2
54,1550,0
26.77,2060,0
60,1700,0
51.17,1800,0
26,1400,0
50,750,0
62,700,0
34.93,2200,0
41.29,1400,0
58.34,1900,0
27,1600,0
40,650,0
82.79,2600,0
78.66,2200,0
84,1600,0
44,1400,0
22.6,1900,0
58,1000,0
94,3500,2
95.62,2500,0
126,3800,2
50,750,0
86.33,3000,0
43,1700,0
27.11,1700,0
34,1300,0
160,7500,2
47,1300,0
79.97,1300,0
58,1600,0
61.09,1400,0
49.4,1800,0
82,2200,0
51.59,2000,0
30,1500,0
70,2400,0
58,2400,0
88,5200,2
97,3800,2
50.56,2600,0
60,2800,0
87.6,1200,0
50,2400,0
47.14,2500,0
38,1300,0
54,1600,0
62,2600,0
65,1200,0
104.16,2000,0
40,1550,0
25,1200,0
67,1800,0
105,3300,2
93.35,4500,2
73,2000,0
193.4,8000,2
65,1700,0
88,2000,0
90,1000,0
77,2200,0
94.86,2300,0
68,3000,0
60,1300,0
50.52,4000,2
32,2900,0
59.56,2500,0
40,800,0
138,3600,2
77.35,1600,0
90,1600,0
57.97,2000,0
90,1160,0
172,8900,2
46.42,1950,0
50,1600,0
47,2200,0
39.81,2000,0
65,1300,0
120,3600,2
130,1600,0
99.56,2900,0
38,2000,0
9,600,0
27,1600,0
80,1600,0
48,2500,0
97.29,3100,2
54,2500,0
42.84,2500,0
154,5500,2
105,2600,0
40.58,1700,0
90,1000,0
40.29,2500,0
58.93,3300,2
70,1800,0
38.55,2500,0
87,3200,2
40,1600,0
130,1300,0
70.72,1400,0
76,1100,0
145,3600,2
57,1200,0
53,2300,0
91,2200,0
82,1400,0
51.02,1800,0
60,2111,0
30,900,0
60,1500,0
30,1570,0
82,2800,0
40.82,1500,0
30,900,0
57.74,1800,0
30,1400,0
77,1150,0
59,1500,0
26.7,1400,0
33,1300,0
82.99,1100,0
168,4500,2
55.6,3000,0
44,1400,0
149,7000,2
77.28,3520,2
39,1700,0
71.01,1800,0
56.27,1300,0
71,1900,0
75,3600,2
30,1550,0
68,2200,0
103,2000,0
88.16,2800,0
55.39,1500,0
72,1300,0
89,2500,0
30,1200,0
57.2,2600,0
46.16,1600,0
48.41,1800,0
71.6,1300,0
130,2300,0
61.89,2600,0
99,2500,0
53.77,3600,2
81,4900,2
62.4,2500,0
60.96,4500,2
93,1500,0
40,1200,0
58,1900,0
61,1300,0
48.45,1400,0
90.65,4200,2
54.06,1200,0
80,2000,0
50,2300,0
90,2500,0
105.8,3200,2
85,1850,0
71,2000,0
69,2300,0
44.35,1550,0
75,2300,0
30,1600,0
50.47,3800,2
45.21,1100,0
94.8,4200,2
85,2150,0
30,1100,0
30,1300,0
30,1500,0
45.12,2200,0
134.52,4300,2
68,2700,0
57,2550,0
125,2800,0
39,1100,0
125,1800,0
44.64,1900,0
39,1800,0
90,2500,0
100,3300,2
77,1700,0
63,1800,0
61.52,1700,0
73.65,1600,0
30,1450,0
58,2600,0
42,1500,0
30,1250,0
72,2150,0
46,2300,0
90,1600,0
30,1300,0
43.6,1500,0
73,1300,0
45,2900,0
34,2400,0
80,2400,0
104.96,3600,2
38.27,1700,0
83,1800,0
63,1400,0
30,1550,0
50,1500,0
120,2800,0
91.7,3800,2
66,3800,2
84.11,1650,0
121.3,2000,0
40,900,0
31,2000,0
80.44,1400,0
41.08,2600,0
115,900,0
28,1700,0
55,1800,0
67,2200,0
194,12000,1
51.59,1500,0
69,4000,2
37,1600,0
145,2100,0
62,1500,0
89,2400,0
76.66,1300,0
37,2300,0
45,2100,0
37,2000,0
65,1000,0
122,1600,0
92,5500,2
76,1100,0
100,4000,2
39.02,2000,0
28.32,1600,0
86,550,0
53,1200,0
40,2100,0
58.53,1500,0
30,600,0
59,1400,0
50,1600,0
50,780,0
43,1000,0
39.77,1450,0
78.46,1450,0
60,2000,0
76,1500,0
30,850,0
90,750,0
79.64,2000,0
54,1100,0
65,700,0
22.68,2200,0
122,2800,0
58.45,1600,0
44.92,900,0
82,1500,0
110,800,0
54.2,1750,0
80,1800,0
40,900,0
33,1500,0
41.2,1100,0
135,1700,0
56.85,1100,0
42.69,900,0
41,1350,0
77.11,1000,0
60,1700,0
28,1400,0
30,1208,0
40,1300,0
46.9,1800,0
101,5200,2
60,1800,0
47.49,1900,0
47.95,3000,0
66,4700,2
90.99,2300,0
60,1800,0
126,2000,0
64.33,1800,0
