面积,价格,所在街道,prediction
60,1300,津港公路,0
45,2200,昆仑路,4
107.1,1500,京津路1号,0
59.78,1200,"双川道,近双辰北路",0
128,6000,洞庭路92号,3
42.46,1500,中心北路1740号,0
90.65,4200,"月牙河南路,近海河东路",3
54.73,3000,绵阳道22号,4
20,950,新环路,0
82.41,1200,双进道,0
20,750,外环南路,0
40,700,津塘公路,0
40,700,津塘公路,0
105.84,2000,云丽北道18号,0
66,1700,泰兴路,0
39.07,3500,南昌路70号,4
55,2800,气象台路22号,4
43,2300,珠江道25号,4
45,3000,环湖北道6号,4
38.98,3200,"八纬路,近大直沽西路",4
84,1500,"福东路,近津塘路",0
78,800,同旺路2号,0
81.9,2400,红旗南路,4
77.78,1900,雪山路,0
94,2000,津滨大道,0
45,1800,微山路38号,0
71.28,3500,"文静路,近宾馆路",4
47,1200,果园东路6号,0
40,1100,富民路,0
87.06,4200,卫津南路,3
84,800,宝白公路,0
80.9,1600,双东路4号,0
74,1500,"团结路,近强国道",0
44,1300,虎丘路,0
83,1200,"昌盛路,近寿昌路",0
150,1000,宝白公路,0
41,1650,鞍山西道,0
90.96,2800,胜利路174号,4
75,900,同旺路2号,0
100,2300,碧欣路16号,4
61,1300,外环西路,0
51.92,1600,学苑路40号,0
60,1200,福州道55号,0
87.01,1700,"闸南路,近东台路",0
38,850,华东道,0
83,1500,梨双公路,0
54.21,1800,真理道47号,0
67.67,1900,芥园西道,0
75,900,津同公路151号,0
39.43,1700,弘贯道,0
70,1200,柳霞路7号,0
41.08,1550,"泗水道,近微山路",0
80,1100,光明路7号,0
60,1800,中心大道66号,0
64,1500,天津大道,0
79,1000,南付营路,0
52.05,2800,城厢东路56号,4
58,1400,宜白路1728号,0
90,2000,春源道,0
85,1900,"弘顺道,近华瑞路",0
45,1500,"光荣道,近丁字沽三号路",0
200,10500,荣业大街76号,1
50,3000,围堤道118号,4
84,1500,京津公路,0
84,1400,青致路2号,0
230,4500,郎庄子道,3
53,3000,"北城街,近城厢东路",4
107,2000,津港公路,0
85,1600,湖西路,0
91,1900,嘉顺路,0
115,1700,"天和路,近于庄路",0
85,2650,华苑东路,4
49.85,2500,吴家窑大街19号,4
54,3200,"天塔道,近卫津南路",4
57,3100,"古海道,近台儿庄路",4
74,1500,泽杨道,0
45,1375,中北大道94号,0
54,1600,爱贤道,0
95,2600,瑞雪路,4
58.08,1700,均胜路,0
49.88,2100,红旗路388号,4
18,1150,红旗南路516号,0
30,1300,外环西路,0
61.52,1300,北辰西道,0
56.08,3000,城厢东路209号,4
43,1600,河北路1431号,0
89,1500,津文线,0
89.95,2600,龙山道,4
30,1200,中北大道94号,0
202.18,10000,洞庭路,1
78,1400,233国道,0
94.25,4500,琳科西路,3
50,1700,汪庄村中街,0
95,2000,新景道,0
73,1300,果园北道3号,0
65,2800,北长路1号,4
102,3590,"航海道,近东七道",4
89.31,2800,惠山道,4
30,1200,"辰景路,近新园路",0
125,4500,北海路,3
84,2800,"泰佳道,近瑶琳路",4
92,2500,天河东路,4
48.81,1850,"直沽街,近津塘村道",0
126.7,2500,中津大道980号,4
45,1200,津塘公路,0
60,2800,元纬路103号,4
57,2100,津京公路,4
110.34,2000,新胡路,0
80,1800,"欣发道,近嘉顺路",0
51.59,2800,黑牛城道9号,4
79,1600,建设路117号,0
140,2500,常海道,4
54,2600,向阳路74号,4
80,2500,"广秀路,近津涞公路",4
76,1800,金江路76号,0
100,2800,"泰佳道,近瑶琳路",4
46.6,1600,"凤亭路,近鲁山道",0
75,2900,赛达大道,4
61,1300,外环西路,0
55,1100,"翠通路,近前进道",0
86,3600,南京路239号,4
83,1500,辛老路,0
52.17,2600,城厢东路56号,4
90,1600,"泉发路,近振华西道",0
23,800,恂园西路12号,0
102,5500,迎水道100号,3
39.17,1900,中山路,0
75,2500,东马路,4
88.71,2600,宜白路,4
59,1500,"杭州道,近河北路",0
53.95,3500,蒙古路13,4
53.75,3700,北马路339号,4
60,1650,正新路,0
10,750,"航宇路,近东七道",0
56,2400,芥园西道,4
55,2800,同安道3,4
15,1350,东马路,0
70,2500,西湖村大街22号,4
87.88,3400,后台西路,4
65,3000,"福安大街,近南市大街",4
120,5700,南京路39号,3
56.51,2800,林苑道36号,4
52,2800,琳科西路,4
58,1500,"紫江路,近南华路",0
52.35,1200,朝阳路,0
56,1600,光荣道,0
65,1300,"团结路,近强国道",0
62,1500,河北路3,0
120,3800,绥江道,3
68.8,5000,南京路231号,3
38.45,1400,车站北路1751号,0
90,2800,宜白路,4
98.52,2700,"沁河中道,近淮东路",4
42,1200,泰来西道,0
64.06,2800,昆纬路51号,4
83.16,2100,延吉道,4
51.13,2500,金海道106号,4
23.48,1600,"宾水西道,近凌宾路",0
76.8,2000,春风路943号,0
85,2190,跃进路,4
85,2000,"沁河中道,近淮东路",0
48.22,1400,"凤凰路,近鲁山道",0
82,1700,赤海路,0
30,1200,秀川路215号,0
30,1450,华苑西路,0
71.18,2800,华苑路,4
105,2200,海景八路,4
62.24,2880,芥园道,4
77.81,3800,琳科西路,3
77,3200,"宾水西道,近凌宾路",4
55,2000,雅乐道,0
40,1600,"天广路,近淮河北道",0
75.58,5000,南京路231号,3
90,2500,卫津南路,4
49,2300,南泥湾路4号,4
30,1375,塘汉路43号,0
82,1700,赤海路,0
114,6000,新兴路1号,3
57.25,2300,津京公路,4
83,1600,幺六桥道,0
81.61,1800,情景大道,0
87.82,3200,东浯水道,4
84,1800,"云山道,近谐海路",0
56.18,2700,迎风道1号,4
106.38,4700,津滨大道,3
97,2000,"双新大道,近顺境路",0
66,1500,"闸南路,近东台路",0
50.68,2500,中心大道,4
89,1600,天嘉湖大道,0
93,1700,广源道,0
47,1400,先锋路,0
49.59,2400,九纬路51号,4
36.56,2000,三潭路125号,0
59.4,2300,"新环路,近华兴道",4
82.13,1600,"民盛道,近泽润路",0
55,1700,大沽南路1041号,0
50,1300,旭华道72号,0
62,900,中昌北大道,0
31.42,1500,集园道,0
58,1166,金钟街,0
60,1800,泗水道,0
37,1400,红旗路,0
82,1800,"高峰路,近延吉道",0
76.5,1000,三八河路,0
88,1900,卫津南路168号,0
39,900,胜利街598号,0
55.94,2500,环湖中路,4
130,1400,东城南路6号,0
86,1200,北仓道,0
102,2000,宁波道576号,0
35,1900,黑牛城道200号,0
77,1550,外环西路,0
60,1500,昌图道3号,0
58,1500,黑牛城道219号,0
74.5,2900,华苑路,4
75,1200,万顺街,0
98,1800,汇川路,0
62.27,1600,海景十路,0
120,1700,中北大道,0
25,1700,黄河道,0
46.5,2550,新围堤道1号,4
115,1100,"丰收路,近津沽路",0
80,1000,新村路,0
40,3100,鞍山道,4
40,1300,"广州道,近车站北路",0
117,2000,天嘉湖大道,0
84,1600,"海兴路,近和商道",0
30,1200,工一号路,0
68,1700,新港路54号,0
15,980,咸阳路,0
77,1700,赛达大道,0
52,1200,嘉园路,0
20,600,富民路,0
92.7,1500,辰昌路,0
20,500,"泉州路,近来源道",0
87,1600,津港公路,0
30,1200,程永道,0
15,1000,恒山道,0
14.5,1000,"成林道,近登州路",0
89,1500,嘉泰路,0
30,1200,楚雄西道,0
93,1700,杨柳青柳霞路,0
35,1800,简阳路,0
78,2200,东环路,4
90,2300,赛达大道,4
60,1500,芦北路,0
20,580,"广源道,近泉旺路",0
16,950,沁水道,0
59,1600,"辰兴路,近南仓道",0
30,1200,昌凌路,0
91,2600,春阳路,4
20,1100,"天池路,近梅州道",0
40,1800,广东路,0
87,3200,"团结环路,近江源东道",4
16,1000,沙柳北路,0
20,1100,湘潭道38号,0
17,901,珠江道25号,0
39,900,友谊南路,0
55,1800,育才西路,0
65,1100,天嘉湖大道,0
118,2500,津沽大街,4
48.48,1500,"凤亭路,近鲁山道",0
75,1300,滨湖路,0
25,1650,翠波道,0
61.97,3200,洞庭路10号,4
125,2200,泉州路,4
48,1700,"密云路,近芥园西道",0
89,1700,龙泉道,0
95,2100,辰兴路,4
47.4,1100,中学西路,0
64.78,1700,宜宾道56号,0
80,4000,江湾路102号,3
151,3528,宾水西道186号,4
50.44,4000,北马路339号,3
84,1700,"嘉顺路,近欣发道",0
66,1100,前进道,0
30,1200,津涞公路,0
65,4500,"沙市道,近云南路",3
66,2700,解放南路26号,4
127,5000,翠波道,3
78,1200,南关大街,0
152,12000,"吴家窑二号路,近成都道",1
67,1100,前进道,0
43.58,4400,九江路,3
30,1300,昌凌路,0
64.42,2200,泰来道,4
318,18000,海河东路518号,1
90,3500,密云路辅路,4
63.66,1300,北辰西道,0
90,2000,"振华西道,近泉保路",0
50,1200,华盛道65号,0
47,1600,辰水道1号,0
59,1400,辰水道1号,0
91,1200,南华路,0
42.45,1800,"八纬路,近大直沽西路",0
73,4300,包头道42号,3
54,1550,"纪庄子前街,近黑牛城道",0
26.77,2060,迎风道1号,0
60,1700,三千路,0
51.17,1800,八纬北路40号,0
26,1400,华龙道80号,0
50,750,四平东道,0
62,700,宝白公路,0
34.93,2200,越秀路,4
41.29,1400,大江路,0
58.34,1900,大江路,0
27,1600,南丰路55号,0
40,650,人民街6号,0
82.79,2600,华苑东路,4
