FID,NAME,KIND
220,八门城中学,A703
221,大辛中学,A703
222,先达驾校,A706
223,三十中附属小学,A702
224,西肖庄中心小学,A702
225,刘靳庄小学,A702
226,天津市塘沽区新港中学,A703
227,天津师范大学第二附属小学,A702
228,南开中学兴南社区学校,A709
229,宝坻区高家庄镇胡家园小学,A702
230,南王平镇中心幼儿园,A701
231,天津五中东校区,A703
232,天津市雷锋小学,A702
233,武清区体育运动学校,A708
234,天津市铃铛阁中学,A703
235,天津市塘沽区第二中心小学,A702
236,武清区南蔡村中学,A703
237,天津市第九十五中学,A703
238,河东区翔宇小学,A702
239,天津市塘沽区第七幼儿园,A701
240,大口屯镇第一初级中学,A703
241,柴庄中心小学,A702
242,滨湖中学,A703
243,河西十七幼,A701
244,康达第一驾校,A706
245,蓟县渔阳镇第一中心小学,A702
246,英华学校东门,A703
247,南蔡村镇中学,A703
248,华夏未来友缘英语幼儿园,A701
249,武清区大良镇双树小学,A702
250,微山路中学,A703
251,兴华小学,A702
252,天津北仓二中,A703
253,天津财经大学马场道校区,A700
254,中心东道小学,A702
255,育英中学,A703
256,泗蒲棒小学,A702
257,大毕庄小学,A702
258,天津市汉沽区第六中学,A703
259,天津现代职业技术学院,A700
260,天津工业大学东门,A700
261,塘沽区朝阳小学,A702
262,天津市第六十六中学,A703
263,天津中医药大学中院,A700
264,河北区第六幼儿园,A701
265,天津市第七十二中学,A703
266,天津市汾水道小学,A702
267,天津市汉沽区盐场小学,A702
268,天津市汉沽区第八中学,A703
269,天津市汉沽中专,A708
270,天津市汉沽区第二中学,A703
271,天津市五十中学,A703
272,天津市第四十三中学,A703
273,南华中学,A703
274,天津汉沽电大,A700
275,武清烹饪职业技能培训学校,A709
276,红太阳幼儿园,A701
277,河西区第二十二幼儿园,A701
278,天华实验中学,A703
279,天津市三十二中学,A703
280,天津市雍阳中学,A703
281,天津市司法警官学校,A709
282,育婴里小学育英校区,A702
283,大口屯高级中学,A703
284,天津新华职工大学,A700
285,昆明路小学总校,A702
286,曹子里乡前台幼儿园,A701
287,泗村店中心小学,A702
288,天津市宝坻区华苑小学,A702
289,天津市河东区第二幼儿园,A701
290,天津外国语学校,A703
291,铁路三中,A703
292,天津市新纪元中学,A703
293,中国北方曲艺学校,A708
294,梅厂镇张大庄中心小学,A702
295,咸水沽二中,A703
296,天津市第二十一中学,A703
297,大碱厂镇第二小学,A702
298,武清县豆张庄乡青坨小学,A702
299,南双庙初级中学,A703
300,第二十一幼儿园,A701
301,天津英华学校,A702
302,天津市津南区白塘口小学,A702
303,大张庄小学,A702
304,天津市九十二中学,A703
305,八里台中心小学,A702
306,中铁十八局集团有限公司技工学校,A708
307,万全道小学,A702
308,宁河县商业学校,A708
309,天津市第６１中学,A703
310,和平四幼,A701
311,逸阳小学,A702
312,天津市北辰区集贤里第二幼儿园,A701
313,上海道小学,A702
314,塘沽育华中学,A703
315,天津市汉沽体育场小学,A702
316,天津市第三中学,A703
317,慧翔职专南院,A708
318,杨柳青第四中学,A703
319,天津交通职业学院,A700
320,天津市税务学校,A708
321,田庄中学,A703
322,天津体育学院东门,A700
323,天津市西青区水高庄小学,A702
324,东马圈镇初级中学,A703
325,天津国际学校,A709
326,耀华嘉诚国际中学,A703
327,白古屯小学,A702
328,大押虎寨中心小学,A702
329,天津电大西青分校,A700
330,滨海琴行艺术培训学校上海道总校,A709
331,王庆坨镇一街完全小学,A702
332,塘沽盐场中学,A703
333,广州道小学,A702
334,双街镇创新幼儿园,A701
335,崔黄口中学,A703
336,长芦海晶职校,A708
337,天津市津南区后营小学,A702
338,大魏庄小学,A702
339,津南区农业机械技术学校,A709
340,崔黄口镇北中心小学,A702
341,民进务实一幼,A701
342,天津市津汉职业中专,A708
343,津源中学,A703
344,高家楼中心小学,A702
345,西双塘中心小学,A702
346,静海县双塘镇中学,A703
347,安乐中心小学,A702
348,西青道中学,A703
349,天津市西青区当城小学,A702
350,天津市南开中学,A703
351,花园新村幼儿园,A701
352,逸夫小学,A702
353,大桃园中心小学,A702
354,无梁庙小学,A702
355,太子务中心小学,A702
356,太子务村幼儿园,A701
357,大谋屯中心小学,A702
358,河西区第二十一幼儿园,A701
359,天津市双水道中学,A703
360,天津市枫林路中学,A703
361,天津市复兴中学,A703
362,泰达国际学校,A703
363,红太阳素质教育基地,A709
364,天津石油职业技术学院,A700
365,王庆坨中学,A703
366,昆鹏小学二分校,A702
367,双桥河第二小学,A702
368,大良镇安家务小学,A702
369,大龙湾小学,A702
370,闫皮庄中心小学,A702
371,大毕庄中学,A703
372,曹子里乡曹子里中心小学,A702
373,天津市第十九中学,A703
374,塘沽十五中,A703
375,天津市津英中学,A703
376,天津华泽高级中学,A703
377,天津静文高级中学,A703
378,泗村店镇中学,A703
379,津南区学生劳动教育基地,A709
380,南蔡村镇成人教育学校,A709
381,蓟县下仓中学,A703
382,南开大学滨海学院,A700
383,台头镇二堡小学,A702
384,中心桥双语幼儿园,A701
385,华兰国际幼稚园,A701
386,河西区中心小学,A702
387,向阳第三小学,A702
388,天津海员学校,A709
389,大庆道小学,A702
390,生物工程职业技术学院,A700
391,大孙庄小学,A702
392,崔黄口镇后巷中心幼儿园,A701
393,天津大港一中,A703
394,天津市红桥区第一幼儿园,A701
395,新村小学,A702
396,汊沽港镇一街中心小学,A702
397,汊沽港镇初级中学,A703
398,城上小学,A702
399,南开中心小学分校,A702
400,糙甸中学,A703
401,红桥区第十四幼儿园,A701
402,杨村第六中学,A703
403,河头中学,A703
404,蒙酄中学,A703
405,新安镇一中,A703
406,崔黄口镇于家庄中心小学,A702
407,芦台镇第四小学,A702
408,辛庄中心小学,A702
409,天津市民族中学,A703
410,海河中学,A703
411,耀华中学南门,A703
412,天津市西青区第六埠小学,A702
413,新袁庄中心小学,A702
414,双口小学,A702
415,大孟庄中心小学,A702
