预测结果：
真实值：13.0, 预测值：13.0
真实值：6.0, 预测值：5.0
真实值：2.0, 预测值：3.0
真实值：5.0, 预测值：5.0
真实值：12.0, 预测值：11.0
真实值：10.0, 预测值：10.0
真实值：12.0, 预测值：11.0
真实值：6.0, 预测值：6.0
真实值：6.0, 预测值：7.0
真实值：8.0, 预测值：8.0
真实值：10.0, 预测值：11.0
真实值：5.0, 预测值：6.0
真实值：7.0, 预测值：7.0
真实值：7.0, 预测值：8.0
真实值：5.0, 预测值：6.0
真实值：9.0, 预测值：10.0
真实值：12.0, 预测值：12.0
真实值：7.0, 预测值：7.0
真实值：5.0, 预测值：5.0
真实值：7.0, 预测值：6.0
Correct Percentage: 73.97563676633445
